Subject,type,dataSet,rok,measureType,prumerny-plat-cssz,median,Title (cs),label (cs),Description (cs),comment (cs),Publisher,structure,component,dimension,order,measure
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2006/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2006,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2021/median,Observation,prumerny-plat-v-cssz,2021,median,,29953,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2007/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2007,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2022/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2022,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2008/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2008,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2022/median,Observation,prumerny-plat-v-cssz,2022,median,,31228,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2009/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2009,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2023/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2023,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2010/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2010,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2023/median,Observation,prumerny-plat-v-cssz,2023,median,,33834,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2011/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2011,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2011/median,Observation,prumerny-plat-v-cssz,2011,median,,17420,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2012/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2012,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2012/median,Observation,prumerny-plat-v-cssz,2012,median,,17818,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2013/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2013,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2013/median,Observation,prumerny-plat-v-cssz,2013,median,,18766,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2014/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2014,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2014/median,Observation,prumerny-plat-v-cssz,2014,median,,19473,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2015/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2015,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2015/median,Observation,prumerny-plat-v-cssz,2015,median,,20803,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2016/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2016,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2016/median,Observation,prumerny-plat-v-cssz,2016,median,,22226,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2017/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2017,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2017/median,Observation,prumerny-plat-v-cssz,2017,median,,23483,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2018/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2018,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2018/median,Observation,prumerny-plat-v-cssz,2018,median,,25937,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2019/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2019,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2019/median,Observation,prumerny-plat-v-cssz,2019,median,,27432,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2020/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2020,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2020/median,Observation,prumerny-plat-v-cssz,2020,median,,30139,,,,,,,,,,
https://data.cssz.cz/resource/observation/prumerny-plat-v-cssz/2021/prumerny-plat-cssz,Observation,prumerny-plat-v-cssz,2021,prumerny-plat-cssz,,,,,,,,,,,,
https://data.cssz.cz/resource/dataset/prumerny-plat-v-cssz,DataSet,,,,,,Průměrný plat a medián v ČSSZ,Průměrný plat a medián v ČSSZ,Výše průměrného platu a mediánu v ČSSZ v jednotlivých letech v Kč,Výše průměrného platu a mediánu v ČSSZ v jednotlivých letech v Kč,www.cssz.cz,prumerny-plat-v-cssz,,,,
https://data.cssz.cz/resource/data-structure-definition/prumerny-plat-v-cssz,DataStructureDefinition,,,,,,,Definice struktury datové kostky Průměrný plat a medián v ČSSZ,,,,,"0,1,2",,,
https://blank_Nodes_IRI.org/0,,,,,,,,Rok,,,,,,rok,1,
https://blank_Nodes_IRI.org/1,,,,,,,,Průměrný plat ČSSZ,,,,,,,,prumerny-plat-cssz
https://blank_Nodes_IRI.org/2,,,,,,,,Medián,,,,,,,,median
