Subject,geopunkt,museum,breite,laenge,type
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/06bb734ca55d3c3c96fd441716ac9187916e1890/,"""49.801333385,9.92241274438""",Kulturspeicher,4.980133e+01,9.922413e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/191c0e26ee376fd637429f58238be60ef9ddcfcf/,"""49.793686674,9.93155614504""",Museum am Dom,4.979369e+01,9.931556e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/249a935cc29d0c118f06048a6f60a7b764e96815/,"""49.7634718948,9.93940113276""",Galerie Ilka Klose,4.976347e+01,9.939401e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/2619b52a0611da72501dd3aa6fd9386655d9e198/,"""49.8007507409,9.92196359496""",Arte Noah,4.980075e+01,9.921964e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/28b05645583b9eb258b325f3f5a0adce000f610d/,"""49.7975413914,9.93746270288""",Galerie am Bäckerbrunnen,4.979754e+01,9.937463e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/2915f7bfeb267df1a283205be06f6cd2bedcd942/,"""49.789950389,9.91768997081""",Mainfränkisches Museum,4.978995e+01,9.91769e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/2ad669f3ecc1c0a33b019fa8f33d27027edec563/,"""49.7916485936,9.92770257788""",Galerie Kelim,4.979165e+01,9.927703e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/2f434408f6b50192a7ec3303499f7516aa59118c/,"""49.7998853715,9.90951861822""",Galerie Arte,4.979989e+01,9.909519e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/3d49d99d808b85fc216e66748f9b2116ff71b7f5/,"""49.7899789982,9.94582049277""",Jüdisches Dokumentationszentrum,4.978998e+01,9.94582e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/404ece273df028e4e5467b949deec54781913e46/,"""49.7937970862,9.89442863586""",Siebold-Museum,4.97938e+01,9.894429e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/61566c0c9d2ee188a1e40fb8c92650a09da8ca3d/,"""49.7883610926,9.9299149079""",Galerie Sundermann,4.978836e+01,9.929915e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/6471974ca70228fea96b66a0dad887be15632d52/,"""49.7868820774,9.95153109604""",Kunstpädagogik,4.978688e+01,9.951531e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/817bb8c707e728af8abda801b3ced091b1392179/,"""49.7952502485,9.92010649231""",Galerie des Würzburger Schwulenzentrums,4.979525e+01,9.920106e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/839fc25d6d9ff05a8deebbd1a58c3343b626ed0b/,"""49.7973594447,9.92774414101""",Galerie für zeitgemäßen Schmuck und Kunst,4.979736e+01,9.927744e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/851ea89d8a39eb0d5fd11795ec571b08c98f58f2/,"""49.7938626435,9.93313421039""",Ehem. Städtische Galerie,4.979386e+01,9.933134e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/9010260804a0ba3c0bfe4b06722b410bfc97dc5b/,"""49.7964185756,9.96243435189""",Atelier & Kunsttreff 26,4.979642e+01,9.962434e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/b13bca179c00b12f2b4eb442a5a810bf712077ad/,"""49.7927688435,9.9389894403""",Martin von Wagner-Museum,4.979277e+01,9.938989e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/b999cfc2adab70fb1b05524fcf5468dc7cb793af/,"""49.7992579761,9.96005936166""",Galerie im Malerfürstentum Wredanien,4.979926e+01,9.960059e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/bb55d1ebe7cd7a840a94731c220c9daa3c0943c4/,"""49.7884495289,9.93108897216""",Galerie Kunststück,4.978845e+01,9.931089e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/d33c57453d7012bbed7c734b588bddf845f29a19/,"""49.7929079895,9.92407338272""",VKU-Galerie Spitäle,4.979291e+01,9.924073e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/d956ae0aa20e2a57716ebec1775f21bbaed4f567/,"""49.8013836599,9.95127520946""",Galerie Senefelder 7,4.980138e+01,9.951275e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/dff64450f4baf8fc65d50b74e1709610d1873e77/,"""49.7826022181,9.97010683248""",Mineralogisches Museum,4.97826e+01,9.970107e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/ebddb03b5f865da37c25b17866a8c51690e448ba/,"""49.7999798988,9.93197661472""",Röntgen-Gedächnisstätte,4.979998e+01,9.931977e+00,museen-record
https://opendata.wuerzburg.de/ld/resources/museen/museen-record/fd8b418e5d05acc91419a3d40a0217ae3d37ae3e/,"""49.7924851158,9.93119414591""","Museum d. Diözese Würzburg ""Würzburger Domschatz""",4.979249e+01,9.931194e+00,museen-record
