Concept,notation,type,is in scheme,preferred label (cs)
jehličnatý-les,jehličnatý-les,Concept,typy-dřevin,Jehličnatý les
jehličnatý-strom,jehličnatý-strom,Concept,typy-dřevin,Jehličnatý strom
skupina-listnatých-stromů,skupina-listnatých-stromů,Concept,typy-dřevin,Skupina listnatých stromů
smíšený-les,smíšený-les,Concept,typy-dřevin,Smíšený les
keř,keř,Concept,typy-dřevin,Keř
listnatý-strom,listnatý-strom,Concept,typy-dřevin,Listantý strom
park,park,Concept,typy-dřevin,Park
skupina-jehličnatých-stromů,skupina-jehličnatých-stromů,Concept,typy-dřevin,Skupina jehličnatých stromů
listnatý-les,listnatý-les,Concept,typy-dřevin,Listnatý les
skupina-stromů,skupina-stromů,Concept,typy-dřevin,Skupina stromů
strom,strom,Concept,typy-dřevin,Strom
oblast-dřevin,oblast-dřevin,Concept,typy-dřevin,Oblast dřevin
